text,label,
To PART	WHOM	did AUX	Paul PROPN	VI PROPN	tell VERB	"not PUNCT	to PART	be PART	afraid" AUX	WHEN	the PUNCT	church ADV	released DET	its NOUN	statement VERB	on DET	birth NOUN	control ADP,DIFFICULT
WHAT	is AUX	the DET	only ADJ	metal NOUN	used VERB	in ADP	American ADJ	currency NOUN,DIFFICULT
Paleontologists NOUN	construct VERB	a DET	model NOUN	of ADP	a DET	dinosaur NOUN	from ADP	its DET	fossil NOUN	bones NOUN	and CCONJ	teeth NOUN	The DET	fossil NOUN	bones NOUN	and CCONJ	teeth NOUN	can VERB	help VERB	the DET	paleontologists NOUN	to PART	infer VERB	all DET	of ADP	the DET	following VERB	about ADP	the DET	dinosaur NOUN	except SCONJ,DIFFICULT
WHO	first ADV	crossed VERB	the DET	Pacific PROPN	ocean NOUN	using VERB	a DET	solar ADJ	powered ADJ	boat NOUN,DIFFICULT
The DET	name NOUN	of ADP	New PROPN	Haven PROPN	harbor NOUN,EASY
HOW	did AUX	Beyonce PROPN	describe VERB	herself PRON	as SCONJ	a DET	feminist NOUN,DIFFICULT
WHO	did AUX	Eisenhower PROPN	tell VERB	DC PROPN	officials NOUN	to PART	integrate VERB,DIFFICULT
WHY	don't AUX	police PART	use VERB	radios VERB,DIFFICULT
WHAT	was AUX	the DET	name NOUN	of ADP	the DET	1909 NUM	Cubist ADJ	sculpture NOUN	Picassos PROPN	created VERB,EASY
HOW	many ADJ	students NOUN	did AUX	Yerevan PROPN	State PROPN	University PROPN	have AUX	in ADP	1992 NUM,EASY
WHAT	are AUX	the DET	names NOUN	of ADP	the DET	products NOUN	in ADP	the DET	chemical NOUN	equation NOUN	shown VERB	below ADP	HCl NOUN	+ SYM	NaHCO_{3} NUM	-> PUNCT	NaCl PUNCT	+ NOUN	CO_{2} PROPN	+ SYM	H_{2}O PROPN,EASY
WHAT	are AUX	some DET	major ADJ	contributors NOUN	to ADP	states NOUN	output NOUN,EASY
WHAT	unit NOUN	is AUX	measured VERB	to PART	determine VERB	circuit NOUN	simplicity NOUN,EASY
WHAT	simple ADJ	plant NOUN	has AUX	been AUX	used VERB	to PART	study VERB	plant NOUN	cells NOUN,DIFFICULT
WHAT	is AUX	the DET	name NOUN	of ADP	the DET	student NOUN	improvisational ADJ	theater NOUN	troupe NOUN,EASY
WHAT	is AUX	the DET	name NOUN	of ADP	the DET	charity NOUN	that DET	Idol PROPN	has AUX,EASY
